bizType	merchantNo	goodsNo	type	categoryNo	cover	title	subtitle	auditStatus	onSale	auditReason	skus
CVS	M0001	G-CVS-01	NORMAL	CAT131	🍚	五常大米 10斤装	东北五常 当季新米	APPROVED	1		10斤:4980:5980:120;20斤:9580:11800:60
CVS	M0001	G-CVS-02	NORMAL	CAT131	🛢️	金龙鱼调和油 5L	家庭装 煎炒烹炸	APPROVED	1		5L:6980:7980:80
CVS	M0001	G-CVS-03	NORMAL	CAT131	🧂	海天生抽酱油 1.9L	古法酿造 提鲜不咸	APPROVED	1		1.9L:2680:2980:90
CVS	M0001	G-CVS-04	NORMAL	CAT131	🍶	镇江香醋 500ml	三年陈酿	APPROVED	1		500ml:1280::110
CVS	M0001	G-CVS-05	NORMAL	CAT131	🧂	太太乐鸡精 900g	炒菜提鲜	APPROVED	1		900g:2180:2480:70
CVS	M0001	G-CVS-06	NORMAL	CAT131	🛢️	福临门花生油 5L	压榨一级	APPROVED	1		5L:9880:10800:45
CVS	M0001	G-CVS-07	NORMAL	CAT131	🌶️	老干妈风味豆豉 280g	下饭必备	APPROVED	1		280g:1180::200
CVS	M0001	G-CVS-08	NORMAL	CAT131	🛢️	鲁花小磨香油 400ml	石磨工艺	APPROVED	1		400ml:2980:3280:55
CVS	M0001	G-CVS-09	NORMAL	CAT131	🧂	加碘精制盐 400g×5	家庭装	APPROVED	1		5袋装:980::300
CVS	M0001	G-CVS-10	NORMAL	CAT131	🍬	白砂糖 1kg	优级绵白	APPROVED	1		1kg:880::150
CVS	M0001	G-CVS-11	NORMAL	CAT132	🍜	康师傅红烧牛肉面 5连包	经典口味	APPROVED	1		5连包:1580:1880:180
CVS	M0001	G-CVS-12	NORMAL	CAT132	🍜	统一老坛酸菜面 5连包	酸爽开胃	APPROVED	1		5连包:1480::160
CVS	M0001	G-CVS-13	NORMAL	CAT132	🥔	乐事薯片 原味 70g	经典原切	APPROVED	1		70g:680::220
CVS	M0001	G-CVS-14	NORMAL	CAT132	🍪	奥利奥夹心饼干 388g	家庭装	APPROVED	1		388g:1880:2180:95
CVS	M0001	G-CVS-15	NORMAL	CAT132	🥜	良品铺子每日坚果 750g	30 小袋	APPROVED	1		750g:6980:8800:60
CVS	M0001	G-CVS-16	NORMAL	CAT132	🌰	三只松鼠碧根果 218g	奶油味	APPROVED	1		218g:2980:3480:75
CVS	M0001	G-CVS-17	NORMAL	CAT132	🍘	旺旺雪饼 400g	儿时味道	APPROVED	1		400g:1680::120
CVS	M0001	G-CVS-18	NORMAL	CAT132	🌶️	卫龙辣条 大面筋 106g	经典辣味	APPROVED	1		106g:580::260
CVS	M0001	G-CVS-19	NORMAL	CAT132	🥛	蒙牛纯牛奶 250ml×24	整箱装	APPROVED	1		24盒:5980:6980:88
CVS	M0001	G-CVS-20	NORMAL	CAT132	🥛	伊利安慕希 205g×12	浓浓奶香	APPROVED	1		12盒:6580:7580:66
CVS	M0001	G-CVS-21	NORMAL	CAT133	🍵	西湖龙井 明前特级 100g	当季头采	APPROVED	1		100g:29800:36800:20;250g:68000::8
CVS	M0001	G-CVS-22	NORMAL	CAT133	🍵	正山小种红茶 250g	桂圆香	APPROVED	1		250g:12800:15800:30
CVS	M0001	G-CVS-23	NORMAL	CAT133	🍵	茉莉花茶 特级 200g	窨制七次	AUDITING	0		200g:8800::35
CVS	M0001	G-CVS-24	NORMAL	CAT210	🧻	心相印抽纸 3层×24包	整箱	AUDITING	0		24包:4980:5980:140
CVS	M0001	G-CVS-25	NORMAL	CAT210	🧻	维达卷纸 4层×27卷	家庭装	AUDITING	0		27卷:5880:6880:100
CVS	M0001	G-CVS-26	NORMAL	CAT210	🧴	蓝月亮洗衣液 3kg	深层洁净	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	3kg:4580:5280:85
CVS	M0001	G-CVS-27	NORMAL	CAT210	🧽	威猛先生洁厕液 500g	瞬间除菌	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	500g:1580::130
CVS	M0001	G-CVS-28	NORMAL	CAT210	🧴	立白洗洁精 1.5kg	果蔬可用	APPROVED	0		1.5kg:1980:2380:115
CVS	M0001	G-CVS-29	NORMAL	CAT220	🍳	苏泊尔不粘炒锅 32cm	燃气电磁通用	APPROVED	0		32cm:13800:16800:25
CVS	M0001	G-CVS-30	NORMAL	CAT230	🪥	三笑牙刷 4支装	软毛护龈	APPROVED	0		4支:1280::190
FRESH	M0002	G-FRESH-01	FRESH	CAT122	🍑	阳山水蜜桃 4枚礼盒	次日到货 坏果包赔	APPROVED	1		4枚:5800:6800:40
FRESH	M0002	G-FRESH-02	FRESH	CAT121	🫐	云南蓝莓 125g×4盒	当季头茬	APPROVED	1		4盒:3980::30
FRESH	M0002	G-FRESH-03	FRESH	CAT122	🍊	赣南脐橙 5斤装	皮薄多汁	APPROVED	1		5斤:3280:3980:90
